
Alam, Hassan ==> 2.02258608839e-05
Kate, Rohit ==> 2.84824468182e-05
Kundu, Amlan ==> 2.20779837674e-05
Wang, Xuanhui ==> 1.93358751449e-05
Kettunen, Kimmo ==> 2.95914646724e-05
Soon, Wee Meng ==> 0.000262217880178
Bloom, Jonathan ==> 2.1051213068e-05
de Pablo-Sanchez, Cesar ==> 2.24039517366e-05
Soudi, Abdelhadi ==> 3.55444645999e-05
Carvey, Hannah ==> 7.47457028104e-05
Nov&aacute;k, V&aacute;clav ==> 0.000122611033528
Knopp, Johannes ==> 4.45730576454e-05
Biber, Douglas ==> 7.69772805716e-05
Ule, Tylman ==> 4.78107130039e-05
Liu, Qiu ==> 2.48447352457e-05
Chang, Jing-Shin ==> 0.000197477003055
Moulin, Bernard ==> 1.8092596453e-05
Garcia, Ernest V. ==> 1.51561366608e-05
Celli, Fabio ==> 1.75602837142e-05
Bogdanova, Daria ==> 1.88254922039e-05
Penkale, Sergio ==> 7.81655338813e-05
Ciravegna, Fabio ==> 9.91741827764e-05
Bosch, Sonja ==> 4.55111060607e-05
Scheible, Silke ==> 2.77680656885e-05
Wang, Haifeng ==> 0.000585718961223
Gopalan, Banu ==> 1.91888213555e-05
Watanabe, Yotaro ==> 0.000149308745841
Glachin, Egidio P. ==> 4.98322205639e-05
Viljanen, Timo ==> 4.2659144905e-05
Slator, Brian M. ==> 9.59440101744e-05
Skadhauge, Peter Rossen ==> 2.1572089315e-05
Tang, Buzhou ==> 2.28751638823e-05
Tanimoto, Steven L. ==> 1.97646830479e-05
Tomasic, Anthony ==> 2.3924700734e-05
Baldwin, Breck ==> 0.000315414522746
Asakura, Takeshi ==> 2.4161819764e-05
Oflazer, Kemal ==> 0.000717803126993
Skadina, Inguna ==> 2.37287480957e-05
Pinchak, Christopher ==> 5.05527606606e-05
George, Bryan ==> 1.44799102617e-05
Park, Hunil ==> 2.07480994984e-05
Inagaki, Yasuyoshi ==> 0.000112294428354
Vogler, Heiko ==> 4.94549343837e-05
Kim, Jee-Hyub ==> 2.28149696537e-05
Roy, Nicholas ==> 3.14333361425e-05
Winiwarter, Werner ==> 1.45225867324e-05
Ward, Nigel ==> 2.83621260305e-05
Mitchell, Jeff ==> 8.7020274952e-05
Gentile, Anna Lisa ==> 3.0011679971e-05
Buckland, Michael ==> 1.57183294435e-05
Relano Gil, Jose ==> 1.55337662165e-05
Jamsen, Anna ==> 1.8478930722e-05
Tsvetkov, Yulia ==> 6.29357830796e-05
Wang, Guangwei ==> 1.70885513255e-05
Wang, Arthur ==> 2.15452642017e-05
Takagi, Shinichiro ==> 3.20162528009e-05
Hartono, Rachmat ==> 2.02258608839e-05
Bergsma, Shane ==> 0.000450914250842
Cardinal, Patrick ==> 1.7844278311e-05
Gabay, David ==> 6.27105035827e-05
Macklovitch, Elliott ==> 6.8968764561e-05
Ferro, Lisa ==> 0.000104622611207
Kameyama, Megumi ==> 0.000372936519826
Ge, Niyu ==> 0.000229407123556
Park, Y. Albert ==> 2.85383878351e-05
Kim, Seongyong ==> 2.09444588476e-05
Zhang, Dakun ==> 4.38173025149e-05
Yusuf, Hammam R. ==> 2.53557577168e-05
Klingenstein, Sara ==> 4.65649390613e-05
Grimm, Scott ==> 1.65822100288e-05
Su, Jian ==> 0.00112497545871
King, Paul John ==> 2.88536166092e-05
Bhattacharyya, Pushpak ==> 0.000329249789058
Clark, Stephen ==> 0.00143200885558
Dayang, Shen ==> 3.29114496041e-05
Candido Jr., Arnaldo ==> 3.86903970539e-05
Monte, Enric ==> 2.91763720588e-05
Xu, Rong ==> 3.81112872138e-05
Sun, Ye ==> 4.52302509811e-05
Asher, Nicholas ==> 0.000153925997222
Beale, Stephen ==> 0.000196598825658
Castano, Jose M. ==> 9.05319657747e-05
Liang, Lin ==> 2.48290277568e-05
Hu, Rile ==> 3.16021599232e-05
Lee, Chi-Hoon ==> 4.01118288327e-05
Busby, George ==> 5.498095859e-05
Burstein, Jill ==> 0.000215614490556
Taura, Kenjiro ==> 2.29110183189e-05
Segers, Roxanne ==> 2.96021313678e-05
Cheng, Yong ==> 3.37989382521e-05
Tom, Janet ==> 1.67822632646e-05
Winkel, Adam ==> 2.5787474585e-05
Kaplan, S. Jerrold ==> 6.63030673976e-05
G&ouml;tze, Michael ==> 1.97271442463e-05
Su&aacute;rez, Armando ==> 0.000163885224526
Busemann, Stephan ==> 0.000213085623926
Ichikawa, A. ==> 2.85782136649e-05
Hahn, Stefan ==> 2.04253847472e-05
Mann, Gideon S. ==> 0.00048591164623
Musgrave, Simon ==> 2.00580563501e-05
Samy, Doaa ==> 3.93292228721e-05
Israel, David J. ==> 0.000150134574185
Maynard, H&eacute;l&egrave;ne ==> 2.65869010765e-05
Davis, Jenny ==> 1.74524411812e-05
Johnson, Christopher ==> 4.56071686095e-05
Fernandes, Eraldo ==> 3.22960197661e-05
Moldovan, Christian ==> 1.66274984944e-05
Chen, Enhong ==> 3.84399057034e-05
Wright Hastie, Helen ==> 4.21334994617e-05
Izagirre, Eli ==> 1.96438566789e-05
Brandow, Ronald ==> 5.461151954e-05
Cimiano, Philipp ==> 0.000108338406804
Weimer, Markus ==> 2.95480860503e-05
Leidner, Jochen L. ==> 7.78581180008e-05
Hartmann, Knut ==> 1.49284815353e-05
Cheung, Jackie Chi Kit ==> 8.73892088259e-05
Psutka, J. ==> 2.05801589577e-05
Yuura, Katsuhiko ==> 4.70234226945e-05
Dudik, Miroslav ==> 2.29870060145e-05
Kukich, Karen ==> 0.000227295755678
Yamasaki, Noriyuki ==> 2.25994689147e-05
Bordea, Georgeta ==> 3.30652316462e-05
Ritz, Julia ==> 5.75875567148e-05
O'Donnell, Michael ==> 0.000190065896903
Ibrahim, Ali ==> 6.47887270912e-05
Akta&#x15F;, Berfin ==> 1.95191634575e-05
Agarwal, Abhaya ==> 0.000154669835205
Abouzakhar, Nasser ==> 2.22414287681e-05
Sanchez, Antonio Vaquero ==> 1.96125042045e-05
Bellare, Kedar ==> 5.80472691049e-05
Yuen, Denis ==> 4.17094755251e-05
Xu, Xiaoming ==> 3.05773662769e-05
Haque, Rejwanul ==> 4.92582942625e-05
Deksne, Daiga ==> 2.37287480957e-05
Master, Demitrios ==> 2.20683823471e-05
Geisler, Daniel ==> 2.36986260099e-05
Nahnsen, Thade ==> 3.69738391514e-05
Kaisser, Michael ==> 7.08482590173e-05
Wang, Zhiguo ==> 1.91657034096e-05
Ylilammi, Matti ==> 6.38992571029e-05
Feng, Junlan ==> 4.92793914013e-05
Sch&uuml;tze, Hinrich ==> 0.000825473225234
Engel, Donald ==> 2.83166954185e-05
Alonso Alemany, Laura ==> 4.11689998215e-05
Xia, Xinsong ==> 7.22052245793e-05
Strzalkowski, Tomek ==> 0.000628297656063
Winters, Scott ==> 0.000148471585224
Farr&eacute;, Jacques ==> 2.10634078467e-05
Binnick, Robert I. ==> 9.17431192661e-05
Suh, Sungki ==> 1.86366299274e-05
IJdens, Jan ==> 2.47751897113e-05
Light, Marc ==> 0.000223370959623
Hirsim&auml;ki, Teemu ==> 6.48839475918e-05
Steedman, Mark ==> 0.000804296019672
Tsai, Dylan B. S. ==> 3.99230639477e-05
Yu, Jin ==> 5.30888273338e-05
Kerre, Etienne ==> 2.22580111802e-05
Mansikkaniemi, Andre ==> 3.78808686809e-05
Freeman, Andrew ==> 2.50350369668e-05
Raab, Jan ==> 3.88530450048e-05
Fisher, Seeger ==> 7.04440204629e-05
Sawai, Susumu ==> 1.80273949777e-05
Marciniak, Tomasz ==> 5.89630884035e-05
Langkilde, Irene ==> 0.000390486578713
Pentheroudakis, Joseph ==> 1.78082297531e-05
Cartwright, Timothy A. ==> 1.53501796504e-05
Bieler, Heike ==> 1.9398569762e-05
Eastmond, John F. G. ==> 1.86741758556e-05
Gilbert, Mazin ==> 3.12583046674e-05
Wang, Zhiyang ==> 4.59255294999e-05
Elson, David K. ==> 6.46417603456e-05
Gillick, Dan ==> 0.000103471212524
Lacheret-Dujour, Anne ==> 1.48188142484e-05
P., Praveen ==> 2.13300360995e-05
Schuler, William ==> 0.000185367286719
Ozsoy, Makbule ==> 2.0770844864e-05
Tsuruoka, Akio ==> 6.36636607669e-05
Zeiler, Shawn ==> 4.52302509811e-05
Dou, Yanzhao ==> 1.52617366191e-05
Sarma, Vaijayanthi ==> 2.6156557859e-05
Myllari, Aleksandr ==> 1.84373092052e-05
El-Kahlout, Ilknur Durgar ==> 1.85862821624e-05
Dunne, Simon ==> 2.11840627891e-05
Manandhar, Suresh ==> 0.000362163079295
Rabiega-Wisniewska, Joanna ==> 3.2461306578e-05
Santaholma, Marianne ==> 0.00017785021683
Katz, Karen ==> 0.000258303838125
Gruenstein, Alexander ==> 0.000115990915321
Snyder, Benjamin ==> 0.000354668914636
Jauhiainen, Krista ==> 2.48415873919e-05
Okamoto, Jun ==> 1.58581798728e-05
Silva, Roberto ==> 4.25390360057e-05
Dahlback, Nils ==> 7.6244189838e-05
Cui, Hang ==> 3.87828429505e-05
Kirsten, Mathias ==> 2.65801181806e-05
Mitra, Pabitra ==> 7.91934341205e-05
Shieber, Stuart M. ==> 0.00119909846242
Li, Wenbo ==> 3.68767802888e-05
Komiya, Kanako ==> 2.08886928036e-05
Dunne, Cody ==> 3.58695893136e-05
Kohl, Dieter ==> 3.52309905639e-05
Albrecht, Joshua ==> 0.000119664095415
Bestougeff, Helene ==> 1.58940609009e-05
Benedict, Richard ==> 3.64615858716e-05
Choi, Jinho ==> 4.21786932924e-05
Shrestha, Lokesh ==> 6.92981912662e-05
Kveton, Pavel ==> 0.000141671870418
Wolska, Magdalena ==> 6.24073657059e-05
Yu, Bin ==> 2.93600430963e-05
Pinchuk, Rani ==> 1.54978930073e-05
Kato, Susumu ==> 2.11619535181e-05
Reddy, Manohar ==> 2.9631796733e-05
Canisius, Sander ==> 0.000122868835518
Ibushi, Katsutoshi ==> 6.63965212679e-05
Hardy, Hilda ==> 4.8151491636e-05
Oh, Jong-Hoon ==> 0.000192940849732
Takeuchi, Nao ==> 1.62672534834e-05
Kambayashi, Yahiko ==> 1.45225867324e-05
Reddy, Nandi ==> 4.14876187392e-05
Zhu, Honggang ==> 3.61156938654e-05
Semecky, Jiri ==> 4.1790091503e-05
Pedersen, Bolette Sandford ==> 1.96125042045e-05
Huang, Yunfeng ==> 1.97572006687e-05
Saarikoski, Harri M. T. ==> 1.87522328914e-05
De Rossi, Gianluca ==> 2.80468427295e-05
Zhao, Jun ==> 0.00026367494851
Liu, Juan ==> 2.08225368555e-05
Riza, Hammam ==> 5.5641070133e-05
Ooyama, Yoshifumi ==> 4.65614814264e-05
Brouwer, Harm ==> 1.8441000524e-05
Gillon, Brendan S. ==> 1.99389069949e-05
Detre, Greg ==> 1.81094579951e-05
Takeuchi, Masahito ==> 1.94486190533e-05
Vega, Jose ==> 2.72998653203e-05
Laws, Florian ==> 0.000132640866624
Gottesman, Benjamin ==> 2.23985170175e-05
Simonova, O. P. ==> 9.17431192661e-05
Coheur, Luisa ==> 3.5686338303e-05
Liden, Per ==> 4.78880908554e-05
Consoli, Carlo ==> 2.74902380133e-05
Ratinov, Lev-Arie ==> 0.000158205864544
Kendall, Elizabeth ==> 1.88049522783e-05
Toporowska Gronostaj, Maria ==> 2.01316391488e-05
Arehart, Mark ==> 1.51527431658e-05
Stratford, Evan ==> 2.44264137044e-05
Guardiola, Mathilde ==> 1.86843185374e-05
Ceberio, Klara ==> 1.96732924818e-05
Passonneau, Rebecca ==> 4.92264504089e-05
Biermann, Alan W. ==> 0.000317394409828
Schwarz, Anne ==> 1.65067639149e-05
Horacek, Helmut ==> 0.000250885715181
Liu, Jianyi ==> 1.93386149204e-05
Solti, Imre ==> 1.65293051453e-05
Bian, Guo-Wei ==> 5.16883750452e-05
Volosen, Ionut ==> 2.8038720166e-05
Thompson, Henry S. ==> 0.000125784788819
Pretorius, Rigardt ==> 1.6210129472e-05
Li, Fangtao ==> 9.67790757387e-05
Cristea, Dan ==> 0.000153669620019
De Meulder, Fien ==> 0.000247381998244
Andersen, &Atilde;&#x98;istein E. ==> 6.04415279934e-05
zhang, wenxiao ==> 2.25673536535e-05
Witten, Ian H. ==> 8.69739619311e-05
Lopez-Lopez, Aurelio ==> 2.35348944388e-05
Mangu, Lidia ==> 2.38918434627e-05
Kass, Robert ==> 3.35046767952e-05
Ren, Han ==> 2.69287203773e-05
Spiezio, Antonella ==> 1.80755482083e-05
Finin, Tim ==> 4.91027912861e-05
Giampiccolo, Danilo ==> 7.20896713211e-05
Rajah, Sonya ==> 1.46556398891e-05
Shaked, Nava A. ==> 1.62802208741e-05
Routledge, Bryan R. ==> 3.45317541641e-05
Li, Shuguang ==> 2.81696921453e-05
Uchiumi, Kei ==> 2.18521291618e-05
Iordanskaja, Lidija ==> 4.76639603024e-05
Zhang, Byoung-Tak ==> 7.94613127452e-05
