Hansen, John P. ==> 7.56553443121e-06
Gancedo, Maria C. ==> 0.0
Lin, Cindy Xide ==> 0.0
Buch-Kromann, Matthias ==> 6.55918042352e-06
Moraes, Silvia ==> 0.0
Gamage, Kumudu ==> 0.0
Moir&oacute;n, Bego&ntilde;a Villada ==> 2.51423670513e-05
Gledson, Ann ==> 5.3280116269e-07
Guthrie, Louise ==> 0.000794333152016
Martin, Joel ==> 8.13202389895e-05
Haase, Kenneth ==> 9.61567707384e-08
Li, Bo ==> 3.67659372882e-06
Naseem, Tahira ==> 4.79815465324e-05
Bulyko, Ivan ==> 1.69627223606e-06
Medero, Shawn ==> 0.0
Lee, Jonghoon ==> 1.62236419448e-06
Tarau, Paul ==> 0.000171691848228
Durrett, Greg ==> 8.24769329783e-08
Raman, S. ==> 1.89151602267e-07
Cavedon, Lawrence ==> 2.23018840077e-05
Blanchon, Herv&eacute; ==> 2.29885414714e-05
Mizuno, Junta ==> 4.69623839356e-07
Uchida, Hiroshi ==> 1.13885464907e-06
Young, Peter ==> 3.98624063038e-06
Schauer, Holger ==> 1.55971141697e-07
Unger, Christina ==> 0.0
Douglas, Benjamin ==> 4.50851323222e-09
Tamchyna, Ale&scaron; ==> 3.83139553563e-11
Mitchener, W. Garrett ==> 2.76358253642e-09
Miller, Bradford W. ==> 5.63496241221e-05
Temin, Aaron ==> 0.0
Ichioka, Kenichi ==> 1.30968109114e-06
Moore, Coleman ==> 2.67641436926e-07
Cordier, D. ==> 1.02949637122e-07
Seki, Kazuhiro ==> 4.75153862726e-07
Wang, Yi-Chia ==> 7.66249164428e-07
Chan, Hayward H. ==> 3.30655986462e-08
Tonelli, Sara ==> 9.28596408056e-05
El-Shishiny, Hisham ==> 0.0
Kongthon, Alisa ==> 1.93647623605e-07
Farley, Benoit ==> 3.83661266989e-09
Demetriou, George C. ==> 7.84467312709e-06
Zhang, Zhenzhong ==> 1.37084258736e-07
Vuorinen, Matti ==> 2.9621170377e-07
Gemello, Roberto ==> 0.0
Hyvonen, Eero ==> 8.2290854963e-09
Yosiyuki, Kobayasi ==> 3.1535089048e-06
Yasuda, Keiji ==> 1.26391492162e-06
Tily, Harry ==> 2.61700240745e-08
Kazama, Jun'ichi ==> 0.000474822608409
Chen, Harr ==> 4.89249451016e-05
Lee, Yoong Keok ==> 9.47587603279e-05
Magnuson, Tina ==> 9.42116677703e-07
Pianta, Emanuele ==> 0.000632719754533
Gweon, Gahgene ==> 0.0
Weston, Jason ==> 1.38497647949e-08
Inumella, Abhilash ==> 2.81755649301e-07
Umansky-Pesin, Shulamit ==> 3.41999291196e-06
Cox, Stephen ==> 0.0
Xiong, Hao ==> 1.96087081673e-07
Gaudinat, Arnaud ==> 5.31566917302e-07
Huang, Thomas ==> 1.93717303074e-06
Borghesi, Luigi ==> 0.0
Chiocchetti, Elena ==> 2.42745804244e-07
H&uuml;lscher, Olaf ==> 4.18056046648e-06
Willners, Caroline ==> 9.93457766572e-07
Yamaoka, Takayuki ==> 9.70019068683e-09
&Ccedil;obanoglu, Onur ==> 0.0
Callmeier, Ulrich ==> 1.55116861179e-06
Tabirao, Emerald ==> 2.54682867387e-06
Oliveira, Paulo C F de ==> 7.06755640343e-08
Sugimoto, Masakatsu ==> 0.0
Gajulapalli, Kailash ==> 1.4736862823e-06
Wenliang, Chen ==> 2.22880891747e-07
Xue, Song ==> 1.09150829966e-07
Jaruskulchai, Chuleerat ==> 7.51033444416e-08
Bouamor, Houda ==> 1.15391678517e-05
Kumano, Akira ==> 5.11625311105e-06
Chao, Chih-Yu ==> 0.0
Kerminen, Antti ==> 0.0
Sourjikova, Eva ==> 2.51987600554e-07
Krkoska, Michael ==> 1.3051606829e-10
Qian, Longhua ==> 5.57566519716e-06
Arguello, Jaime ==> 1.01129278473e-05
Cordova, Aaron ==> 6.18308008168e-09
